value,link,status
Pythonidae,https://en.wikipedia.org/wiki/Pythonidae,link is hitted
Python (genus),https://en.wikipedia.org/wiki/Python_(genus),link is hitted
Python (mythology),https://en.wikipedia.org/wiki/Python_(mythology),link is hitted
Python (programming language),https://en.wikipedia.org/wiki/Python_(programming_language),link is hitted
CMU Common Lisp,https://en.wikipedia.org/wiki/CMU_Common_Lisp,link is hitted
PERQ 3,https://en.wikipedia.org/wiki/PERQ#PERQ_3,link is hitted
Python of Aenus,https://en.wikipedia.org/wiki/Python_of_Aenus,link is hitted
Python (painter),https://en.wikipedia.org/wiki/Python_(painter),link is hitted
Python of Byzantium,https://en.wikipedia.org/wiki/Python_of_Byzantium,link is hitted
Python of Catana,https://en.wikipedia.org/wiki/Python_of_Catana,link is hitted
Python Anghelo,https://en.wikipedia.org/wiki/Python_Anghelo,link is hitted
Python (Efteling),https://en.wikipedia.org/wiki/Python_(Efteling),link is hitted
Python (Busch Gardens Tampa Bay),https://en.wikipedia.org/wiki/Python_(Busch_Gardens_Tampa_Bay),link is hitted
"Python (Coney Island, Cincinnati, Ohio)","https://en.wikipedia.org/wiki/Python_(Coney_Island,_Cincinnati,_Ohio)",link is hitted
Python (automobile maker),https://en.wikipedia.org/wiki/Python_(automobile_maker),link is hitted
Python (Ford prototype),https://en.wikipedia.org/wiki/Python_(Ford_prototype),link is hitted
Python (missile),https://en.wikipedia.org/wiki/Python_(missile),link is hitted
Python (nuclear primary),https://en.wikipedia.org/wiki/Python_(nuclear_primary),link is hitted
Colt Python,https://en.wikipedia.org/wiki/Colt_Python,link is hitted
Python (codename),https://en.wikipedia.org/wiki/Python_(codename),link is hitted
Python (film),https://en.wikipedia.org/wiki/Python_(film),link is hitted
Monty Python,https://en.wikipedia.org/wiki/Monty_Python,link is hitted
Python (Monty) Pictures,https://en.wikipedia.org/wiki/Python_(Monty)_Pictures,link is hitted
Timon of Phlius,https://en.wikipedia.org/wiki/Timon_of_Phlius,link is hitted
Pithon,https://en.wikipedia.org/wiki/Pithon,link is hitted
Pyton,https://en.wikipedia.org/wiki/Pyton,link is hitted
Pyton,https://en.wikipedia.org/wiki/Pyton987654321,link is not hitted
